experiment,controller,min_clearance,min_cbf,collision,mean_qp_ms,p95_qp_ms,max_qp_ms,completion_step,mean_goal_error,mean_control_deviation,per_agent_control_deviation,n_agents,final_mean_alpha_estimate_error
lane_swap_6,nominal,-0.3989781479958489,-1.1978091097699792,True,0.0,0.0,0.0,,2.2532391687701936,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,
lane_swap_6,symmetric_barrier,-0.004697065500162079,-1.0349932021283574,True,1.0449682499862927,1.2635189992579399,1.6628399989713216,,2.4536047859782424,1.0549511132759144,"[0.795647561712672, 0.7671071037751851, 1.4688563834116104, 1.4110143533938122, 0.3262027856444788, 1.560878491717727]",,
lane_swap_6,heterogeneous_barrier,0.0100080988220137,0.2134889291679418,False,1.4959487499911321,5.07072524977351,10.987229999955161,,2.4974347832706227,1.1098638319743808,"[0.6661704360369813, 1.1293072319306026, 1.2433988404188423, 1.4161525765682355, 0.9603035626048706, 1.2438503442867521]",,
lane_swap_10,heterogeneous_barrier,2.829136518905928e-05,-0.00021055619019804545,False,2.762836685045073,9.84589199997572,42.92753400004585,277.0,0.017374023685789462,0.48614671989021313,"[0.49304664189807396, 0.5614074735786528, 0.4757387821871402, 0.6221867232859427, 0.2783540031428023, 0.27835400314320513, 0.6221867122288545, 0.4757387686233045, 0.5614074717210242, 0.4930466190931302]",10,
lane_swap_15,heterogeneous_barrier,2.1865736561321736e-05,-0.05757464154694191,False,3.0467518166108367,12.994115999996817,32.81238600005357,549.0,0.00601418167746137,0.3671053803291114,"[0.28461790094670547, 0.3585184992759383, 0.34216207707471247, 0.28075891507504414, 0.2776317189273887, 0.35229387533274903, 0.4185448239220964, 0.4087726201483502, 0.4911835432497777, 0.26240719200976975, 0.4019060176376532, 0.31055165911060717, 0.34129345649389725, 0.4194613893455551, 0.5564770163864238]",15,
lane_swap_20,heterogeneous_barrier,-0.015463081498481968,-0.21158730279979554,True,3.59775282506122,11.064692849959101,35.07678449996092,397.0,0.008351814347027467,0.5534398278230239,"[0.41353731336288013, 0.60073239959867, 0.6278576322882838, 0.6110786089981688, 0.4810354589798131, 0.6327411398592029, 0.5887428567569923, 0.6785361457636653, 0.5457682704327305, 0.25452081486192407, 0.6837559339938959, 0.6531107080128515, 0.6745652449260373, 0.5310159505776442, 0.5229386483555448, 0.4616569618498539, 0.545234611533266, 0.5572419219304586, 0.5316051606455832, 0.4731207737330125]",20,
sensitivity_ds_0.00_gamma_0.50,heterogeneous_barrier,0.020578874825967874,0.3026196686457094,False,0.5843309639001544,0.8070261834897516,1.6513341667329466,,2.7189692758260002,1.1982973170836475,"[0.741747430087529, 1.1884377924713594, 1.3567780092960788, 1.501349375285845, 0.9904089454313719, 1.4110623499297008]",,
sensitivity_ds_0.00_gamma_1.00,heterogeneous_barrier,0.0100080988220137,0.2134889291679418,False,0.8666746388927196,2.020525291482047,3.207912166544702,,2.4974347832706227,1.1098638319743808,"[0.6661704360369813, 1.1293072319306026, 1.2433988404188423, 1.4161525765682355, 0.9603035626048706, 1.2438503442867521]",,
sensitivity_ds_0.00_gamma_2.00,heterogeneous_barrier,0.00303862727579407,0.10459949392726049,False,0.8848239249800827,1.579840508247812,6.464017833119821,,2.4218052469116214,0.9166693329035895,"[0.8016184858512289, 0.8071610003597428, 0.9990685864398478, 1.031122093254075, 0.7451298102262984, 1.1159160212903443]",,
sensitivity_ds_0.05_gamma_0.50,heterogeneous_barrier,0.023824831494276888,0.32571531206936694,False,0.5786337555340045,0.8812247750483951,1.1961256665623903,,2.7478271314603187,1.2279097138648507,"[0.7746712706540474, 1.1937818818385215, 1.400160029929335, 1.5483204499967596, 0.9974118089855437, 1.4531128417848957]",,
sensitivity_ds_0.05_gamma_1.00,heterogeneous_barrier,0.011554288014215153,0.2293966965041715,False,0.9003227888772218,1.9019747168840715,2.6003651664723293,,2.51821388213038,1.1555137820155355,"[0.6884420979853375, 1.158806864843842, 1.3179111044016767, 1.477645041748122, 0.9719787998242165, 1.318298783290017]",,
sensitivity_ds_0.05_gamma_2.00,heterogeneous_barrier,0.004384673793321858,0.124816390317129,False,0.6263166250038112,1.0073176250898563,1.4460914999290253,,2.4528216150966693,0.9860582478202826,"[0.8431913142723158, 0.858546139718413, 1.1065560725677108, 1.1284524553407504, 0.7797759659667102, 1.1998275390557962]",,
sensitivity_ds_0.10_gamma_0.50,heterogeneous_barrier,0.027155761312574023,0.3478514058101924,False,0.6481096277992846,1.076727616767433,1.391349833284039,,2.776361936945706,1.2532340787492484,"[0.8021222230023421, 1.203128382143535, 1.4647471095150602, 1.566951268750062, 0.9916415120108316, 1.49081397707366]",,
sensitivity_ds_0.10_gamma_1.00,heterogeneous_barrier,0.013335904476387772,0.24637003720515305,False,0.6687918027839461,0.945610033325769,1.9703505001113324,,2.546081999019553,1.2180896595634298,"[0.7767444941927912, 1.1908890712019757, 1.4341908127635716, 1.4995465522482168, 0.9745768488256201, 1.4325901781484018]",,
sensitivity_ds_0.10_gamma_2.00,heterogeneous_barrier,0.006801474903043281,0.15540324656916704,False,0.6399940499957464,0.9363161083456362,0.9972896665810064,,2.4808461326171303,1.0482743926695597,"[0.8578476240276485, 0.9172983169636169, 1.2110233050361074, 1.2260393696721623, 0.8054473067948341, 1.2719904335229881]",,
uncertainty_baseline_six,uncertain_heterogeneous_barrier,0.01347706485613609,0.24683196537336977,False,0.7245884055717196,1.5480272832670992,2.3972985000000335,,2.7598588702439386,1.1992095269722292,"[0.7690064967374022, 1.1848093363069807, 1.3206498057923521, 1.5083661443886534, 1.0105817393825702, 1.4018436392254172]",,0.4231872012527465
